source,id,published,vendor_project,product,title,vuln_classes,risk,routing,safe_proof_hint
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine ADSelfService Plus Authentication Bypass Vulnerability,"rce/command-execution,auth/access-control",high,local_bootstrap_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
NVD recent,<specific-cve-id>,2026-05-20T05:16:22.120,,,The All in One SEO plugin for WordPress is vulnerable to Sensitive Information Exposure via 'internalOptions' …,unknown/review,unknown,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
NVD recent,<specific-cve-id>,2026-05-20T05:16:22.327,,,The Advanced Database Cleaner – Premium plugin for WordPress is vulnerable to Local File Inclusion in versions…,rce/command-execution,high,local_bootstrap_review,"Requires explicit authorization; use marker-only bounded action, pre/post health, and human confirmation gate."
NVD recent,<specific-cve-id>,2026-05-20T07:16:13.820,,,The AI Chatbot & Workflow Automation by AIWU plugin for WordPress is vulnerable to Stored Cross-Site Scripting…,xss,medium,local_bootstrap_review,"Use browser/runtime safe marker only; no cookie theft, keylogging, or victim interaction."
GitHub Advisory,<specific-ghsa-id>,2026-05-27T00:34:06Z,,,tmp has Path Traversal via unsanitized prefix/postfix that enables directory escape,"file-read/path-traversal,auth/access-control",high,local_bootstrap_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
GitHub Advisory,<specific-ghsa-id>,2026-05-27T00:37:20Z,,,@hapi/content header parser has a parameter smuggling issue that allows upload-filter bypass via duplicate parameters,upload/archive,medium,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
GitHub Advisory,<specific-ghsa-id>,2026-05-27T00:38:09Z,,,@hapi/wreck leaks sensitive `Proxy-Authorization` header across cross-hostname redirects,redirect,medium,local_bootstrap_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine Desktop Central File Upload Vulnerability,"rce/command-execution,upload/archive",high,local_or_live_review_high_impact,"Requires explicit authorization; use marker-only bounded action, pre/post health, and human confirmation gate."
CISA KEV,<specific-cve-id>,2021-11-03,Yealink,Device Management,Yealink Device Management Server-Side Request Forgery (SSRF) Vulnerability,"ssrf,rce/command-execution",high,local_or_live_review_high_impact,Use callback/OAST only if explicitly allowed; prefer DNS-only marker; no metadata/internal scanning.
CISA KEV,<specific-cve-id>,2021-11-03,Zyxel,Multiple Products,Zyxel Multiple Products Use of Hard-Coded Credentials Vulnerability,unknown/review,unknown,reference_only_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
CISA KEV,<specific-cve-id>,2021-11-03,Zoho,ManageEngine,Zoho ManageEngine ServiceDesk Plus (SDP) File Upload Vulnerability,upload/archive,medium,reference_only_review,Review manually; do not touch targets until scope and safe proof plan are explicit.
NVD recent,<specific-cve-id>,2026-05-20T05:16:23.350,,,A stored cross-site scripting vulnerability has been found in the Talend Administration Center. An attacker wi…,xss,medium,reference_only_review,"Use browser/runtime safe marker only; no cookie theft, keylogging, or victim interaction."
NVD recent,<specific-cve-id>,2026-05-20T05:16:23.467,,,"A broken access control issue has been identified in the Talend Administration Center, that allows a user with…",auth/access-control,medium,reference_only_review,"Use throwaway accounts, role/account matrix, positive + negative controls, and no real data retention."
GitHub Advisory,<specific-ghsa-id>,2026-05-27T00:35:01Z,,,Pimcore Vulnerable to SQL Injection in Custom Reports Column Configuration,sqli,medium,reference_only_review,Use bounded boolean/time-free controls or synthetic data only; no dumping or broad extraction.
GitHub Advisory,<specific-ghsa-id>,2026-05-27T00:35:56Z,,,Pimcore Admin Classic Bundle Vulnerable to SQL Injection in Translation Grid Date Filter via Unsanitized Property Parameter,"deserialization,rce/command-execution,sqli",high,reference_only_review,"Requires explicit authorization; use marker-only bounded action, pre/post health, and human confirmation gate."
